title,url,views,year,image_url,content
упал вставай встал упай,https://memepedia.ru/upal-vstavaj-vstal-upaj/,1600,2024,https://memepedia.ru/wp-content/uploads/2025/02/99px_ru_wallpaper_93636_mujchina_v_kostume_sidit_na_kresle_s_sigaroj-360x270.jpg,"Упал вставай встал упай – мемная копипаста, которая набрала популярность в виде звука в Тиктоке. Текст пародирует типичные  посты из мужский пабликов или выступления мотивирующих спикеров. Также копипасту стали использовать для создания мемных музыкальных треков."
аманда линда и роуз,https://memepedia.ru/amanda-linda-i-rouz/,4600,2024,https://memepedia.ru/wp-content/uploads/2025/01/amanda-360x270.jpg,"Аманда, Линда и Роуз – мемная песня украинского певца Влада Дарвина. Песня “Три сестры” рассказывает об акварельных рисунках трех сестер. В мемах показывают разные известные троицы. Также пользователи Тиктока придумали под эту песню специальный танец."
я хочу быть пылесосом,https://memepedia.ru/ya-xochu-byt-pylesosom/,4300,2024,https://memepedia.ru/wp-content/uploads/2025/01/30873d138df21f7d091c94b75ee986ec-360x270.jpeg,"Я хочу быть пылесосом – мемная фраза из ИИ-кавера на песню Arctic Monkeys “I Wanna Be Yours”. Как правило, используется как мем сравнение. Сначала что-то показывается или рассказывается под оригинальную английскую фразу “I wanna be your vacuum cleaner”, а затем звучит русская."
сидим с бобром,https://memepedia.ru/sidim-s-bobrom/,4100,2024,https://memepedia.ru/wp-content/uploads/2025/01/bober-2-360x270.jpg,"Сидим с бобром – вирусная песня, рассказывающая про дружбу парня с бобром. В припеве используется сэмпл из мемного видео “Бобр курва”. В роликах с этой песней в основном показывают дружбу или своих домашних животных."
карась дуреет,https://memepedia.ru/karas-dureet/,20000,2024,https://memepedia.ru/wp-content/uploads/2024/12/karas-sdurel-360x270.jpg,"Карась дуреет от этой прикормки (Карась сдурел) – постироничный мем, высмеивающий кликбейтные заголовки на тему рыболовства. В сети фразу используют для любой “пищи”, от которой “дуреют” животные и люди."
парень поет я не вернусь,https://memepedia.ru/paren-poet-ya-ne-vernus/,12200,2024,https://memepedia.ru/wp-content/uploads/2024/12/ja-ne-vernus-360x270.jpg,"Парень поет “Я не вернусь” – вирусное видео с молодым человеком, одетым в куртку и шапку, который посреди улицы танцует и поет песню группы “ВИА Гра”. Забавные движения парня привлекают внимание. С помощью этого мема люди показывают разные ситуации, когда кто-то или что-то уходит навсегда."
пепе королевская креветка,https://memepedia.ru/pepe-korolevskaya-krevetka/,1400,2024,https://memepedia.ru/wp-content/uploads/2024/12/pepe-360x270.jpg,"Пепе Королевская Креветка (Pepe the King Prawn) — мем с персонажем кукольной франшизы “Маппеты”. У него оранжевое тело, взъерошенные волосы и пустой, отрешенный взгляд. Подписи к мемам часто рассказывают неловкие или смешные истории из жизни авторов. В Тиктоке видео с Пепе сопровождаются песней Мадонны «Like a Prayer» (хоровая версия из фильма «Дэдпул и Росомаха» 2024 года)."
тренболон колю в очко,https://memepedia.ru/trenbolon-kolyu-v-ochko/,6000,2024,https://memepedia.ru/wp-content/uploads/2024/12/04-workout-duration-and-frequency-360x270.jpg,"Тренболон колю в очко (Гимн качков) – мемный трек, который используют для разных видео с мускулистыми людьми или персонажами. Также в Тиктоке завирусились мэшапы с оригинальным треком “Гимн качков”."
терпи потому что господь с тобой еще не закончил,https://memepedia.ru/terpi-potomu-chto-gospod-s-toboj-eshhe-ne-zakonchil/,3900,2024,https://memepedia.ru/wp-content/uploads/2024/12/terpi-360x270.jpg,"Терпи, потому что Господь с тобой еще не закончил – мемный звук из Тиктока, описывающий разные тревожные ситуации. Чаще всего звук сопровождает картинка с игрушечным медвежонком в розовом колпаке. Мем используется, чтобы описать разные моменты жизни, когда человек готов сдаться, но что-то останавливает его."
кричащий даман,https://memepedia.ru/krichashhij-daman/,34000,2024,https://memepedia.ru/wp-content/uploads/2025/02/snimok-ekrana-2024-10-31-171502-360x270.png,"Кричащий даман (Hyrax Screaming) – мемное видео, на котором маленький коричневый зверек визжит. Его крик напоминает отчаянный детский крик “Мама”. Из-за этого пользователи соцсетей начали использовать дамана как символ тревоги и желания позвать на помощь."
советское качество,https://memepedia.ru/sovetskoe-kachestvo/,3800,2024,https://memepedia.ru/wp-content/uploads/2024/11/cr-360x270.jpg,"Советское качество – мем, высмеивающий любителей всего советского и показывающий реальное качество вещей, выпущенных в СССР. Многие из них были сделаны из плохих материалов, криво, с явными дефектами."
вам чай с сахаром или с моими слезами,https://memepedia.ru/vam-chaj-s-saxarom-ili-s-moimi-slezami/,4100,2024,https://memepedia.ru/wp-content/uploads/2024/11/fo7mmmdqciq-360x270.jpg,"Вам чай с сахаром или с моими слезами? – мем с милым голосом, который задает вопрос и как будто сейчас расплачется. Мем показывает разные ситуации, которые трогают до глубины души, умиляют или расстраивают. Настолько, что некоторые люди готовы заплакать."
просто чиловый парень,https://memepedia.ru/prosto-chilovyj-paren/,41700,2024,https://memepedia.ru/wp-content/uploads/2024/11/chil-360x270.jpg,"Просто чиловый парень (Just a chill guy) – мем с нарисованной антропоморфной собакой, которая ко всему относится с пофигизмом."
терпим карлики,https://memepedia.ru/terpim-karliki/,13600,2024,https://memepedia.ru/wp-content/uploads/2024/11/terpim-karliki-mem-360x270.jpg,"Терпим карлики (терпите карлики) – мем из нижнего интернета, в котором цитату про карликов приписывают разным людям. Как правило, мем распространяется в виде скриншотов, на которых нейросеть по-разному отвечает на вопрос."
бегемотик му денг,https://memepedia.ru/begemotik-mu-deng/,2500,2024,https://memepedia.ru/wp-content/uploads/2024/11/8e4-360x270.jpeg,"Бегемотик Му Денг – детеныш карликового бегемота из Таиланда, послужившая основой для серии мемов и артов. Му Денг быстро завоевала популярность в интернете, особенно благодаря фотографии, где ее обливают водой из шланга, а она выглядит испуганной. Людям нравится мимика маленькой бегемотихи, ее считают забавной и милой."
неплох в области так сказать,https://memepedia.ru/neplox-v-oblasti-tak-skazat/,2400,2024,https://memepedia.ru/wp-content/uploads/2024/11/gz_-cv3weaastsc-360x270.jpeg,"Неплох в области так сказать – мем из треда айтишника, который рассказывал о своих сексуальных похождениях. В твиттере фразу пародируют. Люди рассказывают в каких областях они неплохи. Чаще всего – с иронией."
маори в парламенте,https://memepedia.ru/maori-v-parlamente/,5100,2024,https://memepedia.ru/wp-content/uploads/2024/11/a950057380ba45ebb63e8e9c0bf325d6-360x270.jpeg,"Маори в парламенте – мем с вирусным видео, на котором депутаты парламента Новой Зелландии исполняют ритуальный танец. Хака – традиционный танец народа маори – коренного населения Новой Зелландии. Депутаты выступили против законопроекта, ограничивающего права маори. Но в мемах этот эпизод служит для демонстрации возмущения, непокорности, крика в самых разных ситуациях."
байден оборачивается и улыбается,https://memepedia.ru/bajden-oborachivaetsya-i-ulybaetsya/,6000,2024,https://memepedia.ru/wp-content/uploads/2024/11/bajden-oborachivaetsja-360x270.jpg,"Байден оборачивается и улыбается (Байден уходит) – мем с Джо Байденом, в котором он оборачивается и улыбается под музыку из фильма “Трансформеры”."
вы когданибудь мечтали стать лучшей версией себя,https://memepedia.ru/vy-kogda-nibud-mechtali-stat-luchshej-versiej-sebya/,11100,2024,https://memepedia.ru/wp-content/uploads/2024/11/substvncija-mem-360x270.jpg,"Вы когда-нибудь мечтали стать лучшей версией себя? – мем по фильму “Субстанция”, в котором сравнивают похожих людей разного возраста."
а ну покажи,https://memepedia.ru/a-nu-pokazhi/,6500,2024,https://memepedia.ru/wp-content/uploads/2024/10/a-nu-pokazhi-360x270.jpg,"А ну покажи – мем в виде комикса с персонажами Yes Chad и Trad girl. Между ними идет диалог, в котором мужчина предъявляет требования женщине, а она спрашивает, что в ответ может дать этот мужчина."
бу испугался не бойся,https://memepedia.ru/bu-ispugalsya-ne-bojsya/,42300,2024,https://memepedia.ru/wp-content/uploads/2024/10/bu-ispugalsja-360x270.jpg,"Бу испугался не бойся – мем с кукольным котом, который говорит мужским голосом. Завирусился в Тиктоке в начале октября 2024 года."
щавель ракушка палитра гитара,https://memepedia.ru/shhavel-rakushka-palitra-gitara/,55700,2024,https://memepedia.ru/wp-content/uploads/2024/09/palitra-gitara-360x270.jpg,"Щавель, ракушка, палитра, гитара – одни из многочисленных сленговых слов, ставших популярными в Тиктоке в 2024 году. Многие из них являются эвфемизмами, то есть завуалированно намекают на оскорбительные или запретные наименования."
найк про,https://memepedia.ru/najk-pro/,52700,2024,https://memepedia.ru/wp-content/uploads/2024/09/najk-pro-mem-360x270.jpg,"Найк про ( Nike pro) – сленговая фраза, которую пишут в комментариях к видео с девушками в облегающей одежде. Как правило, мем носит оскорбительный и сексистский характер."
радужные дельфины,https://memepedia.ru/raduzhnye-delfiny/,12200,2024,https://memepedia.ru/wp-content/uploads/2024/09/gjn4pvxw0aaqjt_-360x270.jpg,"Радужные дельфины (Symphony Dolphins) – серия мемов с яркими дельфинами, выпрыгивающими из воды, в сочетании с демотивационными цитатами и честными признаниями. Эти мемы часто сопровождаются припевом из песни Symphony Зары Ларссон и Clean Bandit, в которой она поет “I just wanna be part of your symphony”."
мне не  мне  шалава,https://memepedia.ru/mne-ne-20-mne-27-shalava/,71200,2024,https://memepedia.ru/wp-content/uploads/2024/09/hq720-360x270.jpg,"Мне не 20, мне 27, шалава – мемная фраза из трека “2027” рэпера Rimini. Используется как звук в Тиктоке или фраза в постах. Мем показывает особенности поведения, здоровья, выбора вещей и тд по мере взросления."
