date,views,mem,sum_views
2023-03,27,мага сияй,145769.0
2023-04,31,мага сияй,145769.0
2023-05,37,мага сияй,145769.0
2023-06,85,мага сияй,145769.0
2023-07,54,мага сияй,145769.0
2023-08,89,мага сияй,145769.0
2023-09,67,мага сияй,145769.0
2023-10,30,мага сияй,145769.0
2023-11,57,мага сияй,145769.0
2023-12,34,мага сияй,145769.0
2024-01,35,мага сияй,145769.0
2024-02,60,мага сияй,145769.0
2024-03,33,мага сияй,145769.0
2024-04,46,мага сияй,145769.0
2024-05,30,мага сияй,145769.0
2024-06,7,мага сияй,145769.0
2024-07,36,мага сияй,145769.0
2024-08,32,мага сияй,145769.0
2024-09,16,мага сияй,145769.0
2024-10,22,мага сияй,145769.0
2024-11,31,мага сияй,145769.0
2024-12,23,мага сияй,145769.0
2025-01,28,мага сияй,145769.0
2023-03,0,илон маск зигует,2242.0
2023-04,0,илон маск зигует,2242.0
2023-05,0,илон маск зигует,2242.0
2023-06,0,илон маск зигует,2242.0
2023-07,0,илон маск зигует,2242.0
2023-08,0,илон маск зигует,2242.0
2023-09,0,илон маск зигует,2242.0
2023-10,0,илон маск зигует,2242.0
2023-11,0,илон маск зигует,2242.0
2023-12,0,илон маск зигует,2242.0
2024-01,0,илон маск зигует,2242.0
2024-02,0,илон маск зигует,2242.0
2024-03,0,илон маск зигует,2242.0
2024-04,0,илон маск зигует,2242.0
2024-05,0,илон маск зигует,2242.0
2024-06,0,илон маск зигует,2242.0
2024-07,0,илон маск зигует,2242.0
2024-08,0,илон маск зигует,2242.0
2024-09,0,илон маск зигует,2242.0
2024-10,0,илон маск зигует,2242.0
2024-11,0,илон маск зигует,2242.0
2024-12,0,илон маск зигует,2242.0
2025-01,6350,илон маск зигует,2242.0
